darija,phoneticTranscription,translations.english,translations.french,translations.spanish,translations.italian,translations.german,category.english,category.french,category.spanish,category.italian,category.german,scenario.english,scenario.french,scenario.spanish,scenario.italian,scenario.german,pictureLink,likes,difficulty,estimated_difficulty,__v,updatedAt,cultural_context,meaning_details,usage_contexts,related_content
واش كاين شي فندق قريب؟,Wash kayn shi funduq qrib?,Is there a hotel nearby?,Y a-t-il un hôtel à proximité ?,¿Hay algún hotel cerca?,C'è un hotel nelle vicinanze?,Gibt es ein Hotel in der Nähe?,Accommodation,Hébergement,Alojamiento,Alloggio,Unterkunft,Looking for accommodation,Chercher un hébergement,Buscar alojamiento,Cercare un alloggio,Nach einer Unterkunft suchen,/images/hotel.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي فندق قريب؟' is essential for tourists visiting Morocco, especially when navigating Accommodation situations like Looking for accommodation."", 'examples': [""Example in a souk (market): 'واش كاين شي فندق قريب؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي فندق قريب؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي فندق قريب؟' is 'Is there a hotel nearby?'."", 'figurative': ""In a tourist context, it can imply 'Is there a hotel nearby?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي فندق قريب؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي فندق قريب؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي فندق قريب؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي فندق قريب؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي فندق قريب؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي فندق قريب؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي فندق قريب؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي فندق قريب؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي فندق قريب؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي فندق قريب؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي فندق قريب؟ in context of 'Looking for accommodation'.""]}"
بغيت نحجز غرفة,Bghit n-hjez ghurfa,I want to book a room,Je veux réserver une chambre,Quiero reservar una habitación,Voglio prenotare una stanza,Ich möchte ein Zimmer buchen,Accommodation,Hébergement,Alojamiento,Alloggio,Unterkunft,Booking a hotel room,Réserver une chambre d'hôtel,Reservar una habitación de hotel,Prenotare una stanza d'albergo,Ein Hotelzimmer buchen,/images/hotel_room.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'بغيت نحجز غرفة' is essential for tourists visiting Morocco, especially when navigating Accommodation situations like Booking a hotel room."", 'examples': [""Example in a souk (market): 'بغيت نحجز غرفة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نحجز غرفة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نحجز غرفة' is 'I want to book a room'."", 'figurative': ""In a tourist context, it can imply 'I want to book a room' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نحجز غرفة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نحجز غرفة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نحجز غرفة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نحجز غرفة'.""], 'regional_variations': [""In northern Morocco, 'بغيت نحجز غرفة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نحجز غرفة?' when asking for the menu."", ""In a taxi: 'بغيت نحجز غرفة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نحجز غرفة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نحجز غرفة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نحجز غرفة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نحجز غرفة in context of 'Booking a hotel room'.""]}"
كيفاش نوصل ل...؟,Kifash n-wsal l...?,How do I get to...?,Comment puis-je aller à... ?,¿Cómo llego a...?,Come posso arrivare a...?,Wie komme ich zu...?,Directions,Directions,Direcciones,Indicazioni,Wegbeschreibung,Asking for directions,Demander son chemin,Pedir indicaciones,Chiedere indicazioni,Nach dem Weg fragen,/images/directions.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'كيفاش نوصل ل...؟' is essential for tourists visiting Morocco, especially when navigating Directions situations like Asking for directions."", 'examples': [""Example in a souk (market): 'كيفاش نوصل ل...؟' - used to ask for prices or greetings."", ""Polite interaction: 'كيفاش نوصل ل...؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'كيفاش نوصل ل...؟' is 'How do I get to...?'."", 'figurative': ""In a tourist context, it can imply 'How do I get to...?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'كيفاش نوصل ل...؟'."", ""Shortened form: 'كيف'.""], 'similar_phrases': [""Phrases with similar intent: 'كيفاش نوصل ل...؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'كيفاش نوصل ل...؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'كيفاش نوصل ل...؟'.""], 'regional_variations': [""In northern Morocco, 'كيفاش نوصل ل...؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'كيفاش نوصل ل...؟?' when asking for the menu."", ""In a taxi: 'كيفاش نوصل ل...؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'كيفاش نوصل ل...؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'كيفاش نوصل ل...؟' for different intents.""], 'related_phrases': [""Phrases like 'كيفاش نوصل ل...؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'كيفاش نوصل ل...؟ in context of 'Asking for directions'.""]}"
بغيت نشري,Bghit n-shri,I want to buy,Je veux acheter,Quiero comprar,Voglio comprare,Ich möchte kaufen,Shopping,Achats,Compras,Acquisti,Einkaufen,Expressing intention to buy,Exprimer l'intention d'acheter,Expresar la intención de comprar,Esprimere l'intenzione di comprare,Die Absicht zu kaufen ausdrücken,/images/shopping.jpg,25,beginner,medium,0,,"{'explanation': ""The phrase 'بغيت نشري' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Expressing intention to buy."", 'examples': [""Example in a souk (market): 'بغيت نشري' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نشري!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نشري' is 'I want to buy'."", 'figurative': ""In a tourist context, it can imply 'I want to buy' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نشري'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نشري or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نشري' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نشري'.""], 'regional_variations': [""In northern Morocco, 'بغيت نشري' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نشري?' when asking for the menu."", ""In a taxi: 'بغيت نشري?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نشري' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نشري' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نشري' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نشري in context of 'Expressing intention to buy'.""]}"
واش عندك قياس أكبر؟,Wash 3andek qyas kbar?,Do you have a larger size?,Avez-vous une taille plus grande ?,¿Tienes una talla más grande?,Hai una taglia più grande?,Haben Sie eine größere Größe?,Shopping,Achats,Compras,Acquisti,Einkaufen,Asking for a different size,Demander une taille différente,Pedir una talla diferente,Chiedere una taglia diversa,Nach einer anderen Größe fragen,/images/clothing_size.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'واش عندك قياس أكبر؟' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Asking for a different size."", 'examples': [""Example in a souk (market): 'واش عندك قياس أكبر؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش عندك قياس أكبر؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش عندك قياس أكبر؟' is 'Do you have a larger size?'."", 'figurative': ""In a tourist context, it can imply 'Do you have a larger size?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش عندك قياس أكبر؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش عندك قياس أكبر؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش عندك قياس أكبر؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش عندك قياس أكبر؟'.""], 'regional_variations': [""In northern Morocco, 'واش عندك قياس أكبر؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش عندك قياس أكبر؟?' when asking for the menu."", ""In a taxi: 'واش عندك قياس أكبر؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش عندك قياس أكبر؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش عندك قياس أكبر؟' for different intents.""], 'related_phrases': [""Phrases like 'واش عندك قياس أكبر؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش عندك قياس أكبر؟ in context of 'Asking for a different size'.""]}"
واش كتقبلو البطاقة؟,Wash kat-qablu l-bitaqa?,Do you accept cards?,Acceptez-vous les cartes ?,¿Aceptan tarjetas?,Accettate carte di credito?,Akzeptieren Sie Karten?,Shopping,Achats,Compras,Acquisti,Einkaufen,Asking about payment methods,Demander les moyens de paiement,Preguntar sobre métodos de pago,Chiedere i metodi di pagamento,Nach Zahlungsmethoden fragen,/images/credit_card.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كتقبلو البطاقة؟' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Asking about payment methods."", 'examples': [""Example in a souk (market): 'واش كتقبلو البطاقة؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كتقبلو البطاقة؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كتقبلو البطاقة؟' is 'Do you accept cards?'."", 'figurative': ""In a tourist context, it can imply 'Do you accept cards?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كتقبلو البطاقة؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كتقبلو البطاقة؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كتقبلو البطاقة؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كتقبلو البطاقة؟'.""], 'regional_variations': [""In northern Morocco, 'واش كتقبلو البطاقة؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كتقبلو البطاقة؟?' when asking for the menu."", ""In a taxi: 'واش كتقبلو البطاقة؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كتقبلو البطاقة؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كتقبلو البطاقة؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كتقبلو البطاقة؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كتقبلو البطاقة؟ in context of 'Asking about payment methods'.""]}"
واش ممكن نجرب هاد الحوايج؟,Wash mumkin n-jarrab had l-hwayj?,Can I try these clothes on?,Puis-je essayer ces vêtements ?,¿Puedo probarme esta ropa?,Posso provare questi vestiti?,Kann ich diese Kleidung anprobieren?,Shopping,Achats,Compras,Acquisti,Einkaufen,Asking to try on clothes,Demander à essayer des vêtements,Pedir probar ropa,Chiedere di provare vestiti,"Fragen, ob man Kleidung anprobieren kann",/images/fitting_room.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش ممكن نجرب هاد الحوايج؟' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Asking to try on clothes."", 'examples': [""Example in a souk (market): 'واش ممكن نجرب هاد الحوايج؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش ممكن نجرب هاد الحوايج؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش ممكن نجرب هاد الحوايج؟' is 'Can I try these clothes on?'."", 'figurative': ""In a tourist context, it can imply 'Can I try these clothes on?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش ممكن نجرب هاد الحوايج؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش ممكن نجرب هاد الحوايج؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش ممكن نجرب هاد الحوايج؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش ممكن نجرب هاد الحوايج؟'.""], 'regional_variations': [""In northern Morocco, 'واش ممكن نجرب هاد الحوايج؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش ممكن نجرب هاد الحوايج؟?' when asking for the menu."", ""In a taxi: 'واش ممكن نجرب هاد الحوايج؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش ممكن نجرب هاد الحوايج؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش ممكن نجرب هاد الحوايج؟' for different intents.""], 'related_phrases': [""Phrases like 'واش ممكن نجرب هاد الحوايج؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش ممكن نجرب هاد الحوايج؟ in context of 'Asking to try on clothes'.""]}"
واش كاين شي تخفيض؟,Wash kayn shi takhfid?,Is there a discount?,Y a-t-il une réduction ?,¿Hay algún descuento?,C'è uno sconto?,Gibt es einen Rabatt?,Shopping,Achats,Compras,Acquisti,Einkaufen,Asking about discounts,Demander s'il y a des réductions,Preguntar por descuentos,Chiedere se ci sono sconti,Nach,,12,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كاين شي تخفيض؟' is essential for tourists visiting Morocco, especially when navigating Shopping situations like Asking about discounts."", 'examples': [""Example in a souk (market): 'واش كاين شي تخفيض؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي تخفيض؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي تخفيض؟' is 'Is there a discount?'."", 'figurative': ""In a tourist context, it can imply 'Is there a discount?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي تخفيض؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي تخفيض؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي تخفيض؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي تخفيض؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي تخفيض؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي تخفيض؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي تخفيض؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي تخفيض؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي تخفيض؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي تخفيض؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي تخفيض؟ in context of 'Asking about discounts'.""]}"
واش كاين شي مطعم مزيان فهاد المنطقة؟,Wash kayn shi mat3am mezyan f-had l-mantiqa?,Is there a good restaurant in this area?,Y a-t-il un bon restaurant dans ce quartier ?,¿Hay algún buen restaurante en esta zona?,C'è un buon ristorante in questa zona?,Gibt es ein gutes Restaurant in dieser Gegend?,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Asking for restaurant recommendations,Demander des recommandations de restaurants,Pedir recomendaciones de restaurantes,Chiedere consigli sui ristoranti,Nach Restaurantempfehlungen fragen,/images/restaurant_search.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش كاين شي مطعم مزيان فهاد المنطقة؟' is essential for tourists visiting Morocco, especially when navigating Dining situations like Asking for restaurant recommendations."", 'examples': [""Example in a souk (market): 'واش كاين شي مطعم مزيان فهاد المنطقة؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين شي مطعم مزيان فهاد المنطقة؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين شي مطعم مزيان فهاد المنطقة؟' is 'Is there a good restaurant in this area?'."", 'figurative': ""In a tourist context, it can imply 'Is there a good restaurant in this area?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين شي مطعم مزيان فهاد المنطقة؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين شي مطعم مزيان فهاد المنطقة؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين شي مطعم مزيان فهاد المنطقة؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين شي مطعم مزيان فهاد المنطقة؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين شي مطعم مزيان فهاد المنطقة؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين شي مطعم مزيان فهاد المنطقة؟?' when asking for the menu."", ""In a taxi: 'واش كاين شي مطعم مزيان فهاد المنطقة؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين شي مطعم مزيان فهاد المنطقة؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين شي مطعم مزيان فهاد المنطقة؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين شي مطعم مزيان فهاد المنطقة؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين شي مطعم مزيان فهاد المنطقة؟ in context of 'Asking for restaurant recommendations'.""]}"
بغيت نعرف شنو المأكولات المشهورة هنا؟,Bghit n3raf shnu l-makulat l-mashhura hna?,I want to know what the famous local dishes are here,Je voudrais connaître les plats locaux célèbres ici,Quiero saber cuáles son los platos locales famosos aquí,Vorrei sapere quali sono i piatti locali famosi qui,"Ich möchte wissen, welche berühmten lokalen Gerichte es hier gibt",Food,Nourriture,Comida,Cibo,Essen,Inquiring about local cuisine,Se renseigner sur la cuisine locale,Preguntar sobre la cocina local,Informarsi sulla cucina locale,Nach der lokalen Küche fragen,/images/local_food.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'بغيت نعرف شنو المأكولات المشهورة هنا؟' is essential for tourists visiting Morocco, especially when navigating Food situations like Inquiring about local cuisine."", 'examples': [""Example in a souk (market): 'بغيت نعرف شنو المأكولات المشهورة هنا؟' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نعرف شنو المأكولات المشهورة هنا؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نعرف شنو المأكولات المشهورة هنا؟' is 'I want to know what the famous local dishes are here'."", 'figurative': ""In a tourist context, it can imply 'I want to know what the famous local dishes are here' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نعرف شنو المأكولات المشهورة هنا؟'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نعرف شنو المأكولات المشهورة هنا؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نعرف شنو المأكولات المشهورة هنا؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نعرف شنو المأكولات المشهورة هنا؟'.""], 'regional_variations': [""In northern Morocco, 'بغيت نعرف شنو المأكولات المشهورة هنا؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نعرف شنو المأكولات المشهورة هنا؟?' when asking for the menu."", ""In a taxi: 'بغيت نعرف شنو المأكولات المشهورة هنا؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نعرف شنو المأكولات المشهورة هنا؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نعرف شنو المأكولات المشهورة هنا؟' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نعرف شنو المأكولات المشهورة هنا؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نعرف شنو المأكولات المشهورة هنا؟ in context of 'Inquiring about local cuisine'.""]}"
واش ممكن تعاونني نلقى طاكسي؟,Wash mumkin t3awni nlqa taksi?,Can you help me find a taxi?,Pouvez-vous m'aider à trouver un taxi ?,¿Puede ayudarme a encontrar un taxi?,Può aiutarmi a trovare un taxi?,"Können Sie mir helfen, ein Taxi zu finden?",Transportation,Transport,Transporte,Trasporti,Verkehr,Asking for help to find a taxi,Demander de l'aide pour trouver un taxi,Pedir ayuda para encontrar un taxi,Chiedere aiuto per trovare un taxi,"Um Hilfe bitten, ein Taxi zu finden",/images/taxi_search.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش ممكن تعاونني نلقى طاكسي؟' is essential for tourists visiting Morocco, especially when navigating Transportation situations like Asking for help to find a taxi."", 'examples': [""Example in a souk (market): 'واش ممكن تعاونني نلقى طاكسي؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش ممكن تعاونني نلقى طاكسي؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش ممكن تعاونني نلقى طاكسي؟' is 'Can you help me find a taxi?'."", 'figurative': ""In a tourist context, it can imply 'Can you help me find a taxi?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش ممكن تعاونني نلقى طاكسي؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش ممكن تعاونني نلقى طاكسي؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش ممكن تعاونني نلقى طاكسي؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش ممكن تعاونني نلقى طاكسي؟'.""], 'regional_variations': [""In northern Morocco, 'واش ممكن تعاونني نلقى طاكسي؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش ممكن تعاونني نلقى طاكسي؟?' when asking for the menu."", ""In a taxi: 'واش ممكن تعاونني نلقى طاكسي؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش ممكن تعاونني نلقى طاكسي؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش ممكن تعاونني نلقى طاكسي؟' for different intents.""], 'related_phrases': [""Phrases like 'واش ممكن تعاونني نلقى طاكسي؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش ممكن تعاونني نلقى طاكسي؟ in context of 'Asking for help to find a taxi'.""]}"
شحال كيخلص الدخول لهاد المتحف؟,Shhal ki-khallas d-dkhul l-had l-mathaf?,How much is the entrance fee for this museum?,Combien coûte l'entrée de ce musée ?,¿Cuánto cuesta la entrada a este museo?,Quanto costa l'ingresso a questo museo?,Wie viel kostet der Eintritt für dieses Museum?,Tourism,Tourisme,Turismo,Turismo,Tourismus,Inquiring about museum entrance fees,Se renseigner sur les frais d'entrée du musée,Preguntar sobre el precio de entrada al museo,Chiedere informazioni sul prezzo d'ingresso al museo,Nach den Eintrittspreisen für das Museum fragen,/images/museum_entrance.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'شحال كيخلص الدخول لهاد المتحف؟' is essential for tourists visiting Morocco, especially when navigating Tourism situations like Inquiring about museum entrance fees."", 'examples': [""Example in a souk (market): 'شحال كيخلص الدخول لهاد المتحف؟' - used to ask for prices or greetings."", ""Polite interaction: 'شحال كيخلص الدخول لهاد المتحف؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شحال كيخلص الدخول لهاد المتحف؟' is 'How much is the entrance fee for this museum?'."", 'figurative': ""In a tourist context, it can imply 'How much is the entrance fee for this museum?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شحال كيخلص الدخول لهاد المتحف؟'."", ""Shortened form: 'شحا'.""], 'similar_phrases': [""Phrases with similar intent: 'شحال كيخلص الدخول لهاد المتحف؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شحال كيخلص الدخول لهاد المتحف؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شحال كيخلص الدخول لهاد المتحف؟'.""], 'regional_variations': [""In northern Morocco, 'شحال كيخلص الدخول لهاد المتحف؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شحال كيخلص الدخول لهاد المتحف؟?' when asking for the menu."", ""In a taxi: 'شحال كيخلص الدخول لهاد المتحف؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شحال كيخلص الدخول لهاد المتحف؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شحال كيخلص الدخول لهاد المتحف؟' for different intents.""], 'related_phrases': [""Phrases like 'شحال كيخلص الدخول لهاد المتحف؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شحال كيخلص الدخول لهاد المتحف؟ in context of 'Inquiring about museum entrance fees'.""]}"
